,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Gas,Y_Very_Low_G,Y_Low_G,Y_Medium_G,Y_High_G,Y_Very_High_G
6,73.85,0.48986818847167063,0.5089367797572146,1981.0,1,0,0,0,0,0,0,0,0,0,1.046243837517537,1,0,0,0,0
7,74.65,0.48785218476451614,0.5059184908139484,1981.0,1,0,0,0,0,0,0,0,0,0,4.862838273581328,1,0,0,0,0
8,69.2,0.48907421440892135,0.5042698455928366,1981.0,1,0,0,0,0,0,0,0,0,0,4.149193620968587,1,0,0,0,0
9,54.0,0.4454746821805646,0.5051068500897088,1981.0,1,0,0,0,0,0,0,0,0,0,4.738062414583827,1,0,0,0,0
10,48.55,0.4237750258395155,0.5074783628308465,1981.0,1,0,0,0,0,0,0,0,0,0,4.08147705130424,1,0,0,0,0
11,45.25,0.40420874328446194,0.5096216016182918,1981.0,1,0,0,0,0,0,0,0,0,0,7.243119924360548,1,0,0,0,0
0,26.2,4.732451750818761,0.5987214163795918,1902.0,1,0,0,0,0,0,0,0,0,0,14.603138619542499,0,1,0,0,0
1,19.1,4.932335432941125,0.5991704798950521,1902.0,1,0,0,0,0,0,0,0,0,0,7.362923988043574,1,0,0,0,0
2,33.3,5.029747100810884,0.6010565466599862,1902.0,1,0,0,0,0,0,0,0,0,0,4.927818959177881,1,0,0,0,0
3,48.05,5.207570835420533,0.6036611150496568,1902.0,1,0,0,0,0,0,0,0,0,0,3.2855724563078845,1,0,0,0,0
4,62.3,5.276676190711257,0.6046789923513672,1902.0,1,0,0,0,0,0,0,0,0,0,2.386077551045773,1,0,0,0,0
5,64.65,5.065802068788653,0.6029426134249202,1902.0,1,0,0,0,0,0,0,0,0,0,2.244177730640721,1,0,0,0,0
6,73.85,5.61010557659338,0.6007122646314665,1902.0,1,0,0,0,0,0,0,0,0,0,0.9427990028026755,1,0,0,0,0
7,74.65,5.587017746221651,0.5971496940754801,1902.0,1,0,0,0,0,0,0,0,0,0,4.382036873929318,1,0,0,0,0
8,69.2,5.601012766686705,0.5952037521751514,1902.0,1,0,0,0,0,0,0,0,0,0,3.7389521142281867,1,0,0,0,0
