,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric,Y_Very_Low_E,Y_Low_E,Y_Medium_E,Y_High_E,Y_Very_High_E
9,54.0,0.4575062740756453,0.3312176066162025,1909.0,1,0,0,0,0,0,0,0,0,0,2.178511115517107,1,0,0,0,0
10,48.55,0.4352205431049876,0.33277269693826,1909.0,1,0,0,0,0,0,0,0,0,0,2.163536599866748,1,0,0,0,0
11,45.25,0.41512580509326497,0.33417809942183074,1909.0,1,0,0,0,0,0,0,0,0,0,2.045653783584844,1,0,0,0,0
0,26.2,0.9474409039636122,0.7650329209294782,1931.0,1,0,0,0,0,0,0,0,0,0,5.722914336269384,0,1,0,0,0
1,19.1,0.9874577887516766,0.7656067243103443,1931.0,1,0,0,0,0,0,0,0,0,0,3.195152083837305,1,0,0,0,0
2,33.3,1.00695968830029,0.7680166985099822,1931.0,1,0,0,0,0,0,0,0,0,0,2.7429476597755875,1,0,0,0,0
3,48.05,1.0425601526548613,0.7713447581190058,1931.0,1,0,0,0,0,0,0,0,0,0,2.7394786677251974,1,0,0,0,0
4,62.3,1.0563951041203552,0.7726453791156358,1931.0,1,0,0,0,0,0,0,0,0,0,3.2369778055107017,1,0,0,0,0
5,64.65,1.0141779238475042,0.7704266727096201,1931.0,1,0,0,0,0,0,0,0,0,0,3.350442079449188,1,0,0,0,0
6,73.85,1.1231479534681665,0.7675767825846516,1931.0,1,0,0,0,0,0,0,0,0,0,3.4394552645265364,1,0,0,0,0
7,74.65,1.1185257500037225,0.7630246090964466,1931.0,1,0,0,0,0,0,0,0,0,0,3.528652779145183,1,0,0,0,0
8,69.2,1.1213275651174437,0.76053812777936,1931.0,1,0,0,0,0,0,0,0,0,0,3.1125167008888877,1,0,0,0,0
9,54.0,1.0213645004668797,0.7618004952172657,1931.0,1,0,0,0,0,0,0,0,0,0,2.8973582686002026,1,0,0,0,0
10,48.55,0.971612495368428,0.7653772029579979,1931.0,1,0,0,0,0,0,0,0,0,0,2.877442585623505,1,0,0,0,0
11,45.25,0.9267517946210488,0.7686096286702107,1931.0,1,0,0,0,0,0,0,0,0,0,2.720661768648338,1,0,0,0,0
0,26.2,0.544686322889755,0.5238812393321427,1926.0,1,0,0,0,0,0,0,0,0,0,3.1727429747177394,1,0,0,0,0
1,19.1,0.56769213754007,0.5242741699081706,1926.0,1,0,0,0,0,0,0,0,0,0,1.771369573523593,1,0,0,0,0
2,33.3,0.5789038320215525,0.5259244783274879,1926.0,1,0,0,0,0,0,0,0,0,0,1.5206706594256834,1,0,0,0,0
3,48.05,0.5993706346910771,0.5282034756684496,1926.0,1,0,0,0,0,0,0,0,0,0,1.518747474923781,1,0,0,0,0
4,62.3,0.6073243854839472,0.5290941183074463,1926.0,1,0,0,0,0,0,0,0,0,0,1.7945574559213355,1,0,0,0,0
5,64.65,0.5830536150439195,0.5275747867468051,1926.0,1,0,0,0,0,0,0,0,0,0,1.8574612418015992,1,0,0,0,0
6,73.85,0.6457007780394766,0.5256232315525331,1926.0,1,0,0,0,0,0,0,0,0,0,1.9068095180498696,1,0,0,0,0
7,74.65,0.6430434608409432,0.5225059823160451,1926.0,1,0,0,0,0,0,0,0,0,0,1.956259985283855,1,0,0,0,0
8,69.2,0.6446542318825199,0.5208032831532574,1926.0,1,0,0,0,0,0,0,0,0,0,1.725557105381075,1,0,0,0,0
9,54.0,0.5871851972635567,0.5216677304205188,1926.0,1,0,0,0,0,0,0,0,0,0,1.6062748019279354,1,0,0,0,0
10,48.55,0.5585826357738654,0.5241169976777595,1926.0,1,0,0,0,0,0,0,0,0,0,1.595233689037154,1,0,0,0,0
11,45.25,0.5327920983059095,0.5263305065893834,1926.0,1,0,0,0,0,0,0,0,0,0,1.5083155200063856,1,0,0,0,0
0,26.2,2.023195992639775,1.0810247795742627,2004.0,0,1,0,0,0,0,0,0,0,0,12.354083123995533,0,0,1,0,0
1,19.1,2.108649344508409,1.0818355886993998,2004.0,0,1,0,0,0,0,0,0,0,0,6.897390406033077,0,1,0,0,0
2,33.3,2.1502943324443886,1.085240987024975,2004.0,0,1,0,0,0,0,0,0,0,0,5.921214507594116,0,1,0,0,0
3,48.05,2.2263167170775207,1.0899436799507691,2004.0,0,1,0,0,0,0,0,0,0,0,5.913725977515062,0,1,0,0,0
4,62.3,2.255860320532104,1.0917815139677463,2004.0,0,1,0,0,0,0,0,0,0,0,6.98767979565394,0,1,0,0,0
5,64.65,2.165708386420693,1.0886463853505501,2004.0,0,1,0,0,0,0,0,0,0,0,7.232615677876776,0,1,0,0,0
6,73.85,2.3984065170629707,1.0846193666957034,2004.0,0,1,0,0,0,0,0,0,0,0,7.424768875174853,0,1,0,0,0
7,74.65,2.388536114078144,1.0781869476362835,2004.0,0,1,0,0,0,0,0,0,0,0,7.617319985553853,0,1,0,0,0
8,69.2,2.394519200818946,1.0746734414273567,2004.0,0,1,0,0,0,0,0,0,0,0,6.719005001334982,0,1,0,0,0
9,54.0,2.1810548348971013,1.076457221502658,2004.0,0,1,0,0,0,0,0,0,0,0,6.254541442885894,0,1,0,0,0
10,48.55,2.0748127918104258,1.081511265049345,2004.0,0,1,0,0,0,0,0,0,0,0,6.211549360791293,0,1,0,0,0
11,45.25,1.9790157984576926,1.08607882312095,2004.0,0,1,0,0,0,0,0,0,0,0,5.873105845590653,0,1,0,0,0
